age,gender,state,last_purchase_date,total_purchases,total_spent,avg_order_value,favorite_category,satisfaction_score,loyalty_program,days_since_last_purchase,discount_usage_rate,customer_comments,has_churned
37,Female,CA,12/06/2020,8,773.0992852483864,96.6374106560483,Clothing,3.0,Not Available,1121,0.6999078785431749,Not Available,False
38,Female,NC,17-01-2022,22,511.4374969116243,23.247158950528377,Electronics,4.0,No,714,0.0050045532104777,Will buy again,False
65,Male,OH,09/21/2021,6,148.76639419285837,24.794399032143065,Clothing,4.0,No,832,0.7253876095206256,Average,False
87,Female,MI,2022-07-13,1,22.903512202714985,22.903512202714985,Clothing,1.0,Yes,537,0.7945930081077105,Great service,False
32,Male,FL,2021-02-02,1,32.38861284631487,32.38861284631487,Home,4.0,No,1063,0.7721065706596774,Not Available,False
40,Male,FL,13-12-2022,5,314.90451014199414,62.98090202839882,Electronics,3.0,No,384,0.2005659197063856,Not Available,False
27,Not Available,FL,08-07-2022,34,600.6884433958527,17.66730715870155,Home,2.0,Yes,542,0.7101548393773551,Great service,False
26,Female,NY,2023-01-17,12,578.5247376230698,48.21039480192248,Electronics,1.0,Yes,349,0.222378484399271,Average,True
30,Female,CA,02/11/2022,7,97.7923393091261,13.970334187018016,Sports,3.4008560851457657,No,689,0.9861716488541876,Great service,False
18,Female,TX,12/13/2021,7,673.4932644070042,96.21332348671488,Electronics,4.0,Yes,749,0.9255328953802322,Great service,False
21,Not Available,MI,15-08-2023,8,666.9832737244653,83.37290921555817,Toys,5.0,Yes,139,0.8282820244292076,Will buy again,False
33,Male,MI,28-02-2022,4,423.23297900910666,105.80824475227666,Home,5.0,No,672,0.0004311095339805,Terrible experience,False
30,Female,TX,07/13/2022,3,70.89584187826873,23.631947292756244,Toys,3.4008560851457657,No,537,0.500425437146221,Not Available,False
44,Male,NC,22-04-2020,4,192.17190697784343,48.04297674446087,Sports,5.0,Not Available,1349,0.2436562797773952,Shipping was late,False
34,Not Available,PA,04/11/2022,9,752.7380826698113,83.63756474109015,Home,3.4008560851457657,No,630,0.603566979887799,Not Available,True
41,Male,NY,05/04/2022,2,96.57485606227591,48.28742803113796,Sports,4.0,No,607,0.3240107264105795,Shipping was late,False
42,Female,PA,03/18/2021,5,1302.215801865586,260.4431603731172,Electronics,3.0,No,1019,0.1496087106782252,Not Available,False
46,Female,MI,15-02-2022,3,159.86071574957248,53.2869052498575,Electronics,5.0,Not Available,685,0.0959002029252024,Great service,True
35,Not Available,Not Available,04/07/2022,4,148.96729588347424,37.24182397086856,Electronics,4.0,No,634,0.992818079664573,Great service,False
19,Male,FL,02/22/2023,8,367.9936331334742,45.999204141684274,Electronics,3.4008560851457657,No,313,0.5387943049886155,Okay,True
59,Male,GA,09/17/2021,2,57.43274444780253,28.716372223901267,Clothing,3.0,No,836,0.2148405764352033,Not Available,True
49,Male,GA,2021-12-13,10,649.5409775211949,64.9540977521195,Sports,4.0,No,749,0.758628769434466,Never arrived,False
63,Male,NC,2021-04-15,3,21.9561093290737,7.318703109691234,Toys,1.0,Yes,991,0.5456245308329453,Not Available,False
36,Male,IL,2022-05-23,4,251.89346902935745,62.97336725733936,Sports,3.0,No,588,0.1921482139388433,Not Available,False
47,Male,IL,2023-03-21,1,2.9038166475974987,2.9038166475974987,Clothing,4.0,Yes,286,0.654194779908367,Okay,False
71,Female,TX,2022-03-20,3,101.9723429123222,33.99078097077407,Beauty,2.0,No,652,0.5119711306649618,Not Available,False
49,Female,GA,12-08-2021,2,332.7138542196558,166.3569271098279,Toys,4.0,No,872,0.7643691126349987,Loved the product,False
42,Other,MI,23-01-2023,6,114.30505027013515,19.05084171168919,Electronics,3.0,No,343,0.5184025776840341,Not Available,False
18,Male,GA,08/23/2021,10,241.40961563790304,24.140961563790302,Sports,3.0,Yes,861,0.7410067835984258,Okay,False
39,Male,NC,10-10-2022,3,216.5459685903262,72.18198953010874,Toys,5.0,No,448,0.7780612158721653,Not Available,False
55,Male,FL,08-01-2022,3,83.98357034172429,27.99452344724143,Beauty,2.0,Yes,723,0.5320958029191772,Customer support was helpful,False
34,Not Available,Not Available,2022-02-23,9,126.06286619087402,14.006985132319336,Not Available,5.0,No,677,0.1100315899275795,Will buy again,False
49,Male,TX,2021-01-31,5,403.4934838339577,80.69869676679154,Toys,1.0,Not Available,1065,0.5093037257359498,Terrible experience,False
18,Male,PA,2022-05-16,3,20.358820759920985,6.786273586640328,Sports,5.0,Yes,595,0.2350899350778189,Average,False
24,Male,PA,2020-11-19,9,421.23612488804,46.80401387644888,Electronics,5.0,No,1138,0.3638251234181826,Customer support was helpful,False
18,Female,TX,09/15/2021,1,35.310657452837816,35.310657452837816,Toys,4.0,-,838,0.663509164422819,Loved the product,True
24,Female,PA,21-05-2021,6,349.4387679143469,58.23979465239115,Electronics,4.0,No,955,0.500425437146221,Okay,False
56,Not Available,OH,10-06-2022,3,438.8927442237431,146.29758140791435,Clothing,5.0,Not Available,570,0.0405688731317077,Okay,False
60,Male,GA,2021-11-08,4,89.02056207230048,22.25514051807512,Beauty,4.0,No,784,0.9896459548691554,Average,True
44,Female,MI,2021-11-04,5,104.18819307557584,20.837638615115168,Clothing,2.0,No,788,0.1854013074685914,Average,False
24,Male,PA,04/07/2022,4,51.469318137523686,12.867329534380922,Clothing,3.4008560851457657,No,634,0.8746798516886096,Okay,True
64,Male,NC,2021-01-23,6,1013.6866145246598,168.9477690874433,Beauty,3.4008560851457657,Yes,1073,0.7052072409620922,Never arrived,True
28,Not Available,TX,15-09-2021,4,73.96255569266661,18.490638923166653,Beauty,4.0,No,838,0.5106029397070585,Will buy again,False
41,Female,OH,2020-09-06,2,34.96439523492122,17.48219761746061,Clothing,5.0,Yes,1212,0.8209107138002737,Average,True
28,Male,PA,05/10/2022,11,141.38187057563266,12.852897325057514,Toys,2.0,Not Available,601,0.161711886452178,Terrible experience,True
58,Female,PA,04/07/2022,3,242.15319070456368,80.71773023485456,Home,5.0,Yes,634,0.7414624772765701,Great service,False
41,Female,GA,2020-09-12,10,380.9163911555169,38.09163911555169,Toys,3.0,No,1206,0.2206112366967823,Not Available,True
45,Male,OH,10/22/2022,3,110.15457516049466,36.71819172016489,Clothing,3.0,No,436,0.8518533490847753,Not Available,False
70,Male,OH,10/03/2022,5,273.5116742688345,54.702334853766914,Electronics,3.4008560851457657,Not Available,455,0.4099532985904902,Average,False
45,Male,OH,01-07-2022,2,118.20796731320289,59.10398365660144,Home,4.0,No,549,0.6916239735263142,Great service,False
39,Female,MI,09-09-2023,2,27.506577881314925,13.753288940657464,Clothing,2.0,No,114,0.9533571169429566,Customer support was helpful,False
52,Female,GA,03/02/2021,1,77.37769537432732,77.37769537432732,Toys,3.4008560851457657,No,1035,0.3265454289429546,Customer support was helpful,True
49,Male,OH,05-04-2021,3,23.79837257000497,7.932790856668325,Electronics,5.0,No,1001,0.4992739865310625,Terrible experience,False
33,Male,OH,01/24/2022,8,375.8661172864586,46.98326466080732,Sports,5.0,Not Available,707,0.8477199103748322,Terrible experience,False
46,Female,TX,2020-10-13,14,696.322738795287,49.73733848537764,Beauty,4.0,No,1175,0.6652963940213018,Average,False
27,Female,NC,2021-08-27,1,127.5899555413341,127.5899555413341,Beauty,3.0,Yes,857,0.652814007849536,Not Available,False
